prefill_time_s,prefill_peak_alloc_MB,prefill_peak_reserved_MB,decode_time_s,decode_peak_alloc_MB,decode_peak_reserved_MB,tokens_generated,total_time_s,tokens_per_second,latency_per_token,input_tokens,exact_match,f1,evidence_f1,sample_id,baseline,dataset,model,max_new_tokens,streaming_start_size,streaming_recent_size
14.415,13033.08,14020.0,25.636,7034.68,10814.0,192,40.051,7.49,0.1335,7000,0.0,0.07692307692307693,0.0,397a1e851aab41c455c2b284f5e4947500d797f0,streamingllm,qasper,togethercomputer/LLaMA-2-7B-32K-Instruct,192,4,1020
14.428,13033.08,14020.0,25.646,7034.68,10814.0,192,40.074,7.49,0.1336,7000,0.0,0.07692307692307693,0.0,397a1e851aab41c455c2b284f5e4947500d797f0,streamingllm,qasper,togethercomputer/LLaMA-2-7B-32K-Instruct,192,4,1020
14.385,13031.21,14020.0,25.725,7034.21,10934.0,192,40.11,7.46,0.134,7000,0.0,0.15384615384615385,0.0,cc8b4ed3985f9bfbe1b5d7761b31d9bd6a965444,streamingllm,qasper,togethercomputer/LLaMA-2-7B-32K-Instruct,192,4,1020
14.406,13031.21,14020.0,25.738,7034.21,10934.0,192,40.144,7.46,0.1341,7000,0.0,0.0,0.0,f7662b11e87c1e051e13799413f3db459ac3e19c,streamingllm,qasper,togethercomputer/LLaMA-2-7B-32K-Instruct,192,4,1020
14.414,13031.21,14020.0,25.743,7034.21,10934.0,192,40.157,7.46,0.1341,7000,0.0,0.06802721088435375,0.0,b584739622d0c53830e60430b13fd3ae6ff43669,streamingllm,qasper,togethercomputer/LLaMA-2-7B-32K-Instruct,192,4,1020
7.554,11823.96,12522.0,25.759,8129.0,9960.0,192,33.313,7.45,0.1342,4581,0.0,0.0,0.0,2849c2944c47cf1de62b539c5d3c396a3e8d283a,streamingllm,qasper,togethercomputer/LLaMA-2-7B-32K-Instruct,192,4,1020
14.153,13031.2,14018.0,25.745,6834.52,10934.0,192,39.898,7.46,0.1341,6679,0.0,0.0,0.0,1a6156189297b2fe17f174ef55cbd20341bb7dbf,streamingllm,qasper,togethercomputer/LLaMA-2-7B-32K-Instruct,192,4,1020
14.163,13031.2,14018.0,25.759,6833.28,10934.0,192,39.922,7.45,0.1342,6677,0.0,0.0,0.0,3319d56556ae1597a86384057db0831e32774b90,streamingllm,qasper,togethercomputer/LLaMA-2-7B-32K-Instruct,192,4,1020
14.039,13031.2,14018.0,25.768,6833.9,10934.0,192,39.807,7.45,0.1342,6678,0.0,0.0,0.0,8cbe3fa4ec0f66071e3d6b829b09b6395b631c44,streamingllm,qasper,togethercomputer/LLaMA-2-7B-32K-Instruct,192,4,1020
14.003,13031.2,14018.0,25.766,6835.15,10934.0,192,39.769,7.45,0.1342,6680,0.0,0.0,0.0,85e417231a4bbb6691f7a89bd81710525f8fec4c,streamingllm,qasper,togethercomputer/LLaMA-2-7B-32K-Instruct,192,4,1020
13.985,13031.2,14018.0,25.76,6835.15,10934.0,192,39.745000000000005,7.45,0.1342,6680,0.0,0.0,0.0,57ee20f494d8ce3fae46028c3f3551d180dba3e0,streamingllm,qasper,togethercomputer/LLaMA-2-7B-32K-Instruct,192,4,1020
14.055,13031.2,14018.0,25.777,6833.9,10934.0,192,39.832,7.45,0.1343,6678,0.0,0.0,0.0,2974237446d04da33b78ce6d22a477cdf80877b7,streamingllm,qasper,togethercomputer/LLaMA-2-7B-32K-Instruct,192,4,1020
12.445,13031.19,14018.0,25.788,6114.77,10934.0,192,38.233000000000004,7.45,0.1343,5522,0.0,0.0,0.0,bc8526d4805e2554adb2e9c01736d3f3a3b19895,streamingllm,qasper,togethercomputer/LLaMA-2-7B-32K-Instruct,192,4,1020
12.492,13031.19,14018.0,25.817,6116.2,10934.0,192,38.309,7.44,0.1345,5523,0.0,0.0,0.0,a0fd0c0fe042ad045b8d5095c81643ef3a352b81,streamingllm,qasper,togethercomputer/LLaMA-2-7B-32K-Instruct,192,4,1020
14.454,13031.21,14020.0,25.84,7034.21,10934.0,192,40.294,7.43,0.1346,7000,0.0,0.4615384615384615,0.0,6e040e80f2da69d50386a90a38ed6d2fa4f77bbd,streamingllm,qasper,togethercomputer/LLaMA-2-7B-32K-Instruct,192,4,1020
14.398,13031.21,14020.0,25.804,7034.21,10934.0,192,40.202,7.44,0.1344,7000,0.0,0.0,0.0,aebd1f0d728d0de5f76238844da044a44109f76f,streamingllm,qasper,togethercomputer/LLaMA-2-7B-32K-Instruct,192,4,1020
14.414,13031.21,14020.0,25.8,7034.21,10934.0,192,40.214,7.44,0.1344,7000,0.0,0.0,0.0,cb4086ad022197da79f28dc609d0de90108c4543,streamingllm,qasper,togethercomputer/LLaMA-2-7B-32K-Instruct,192,4,1020
4.671,8661.36,10058.0,25.836,7329.64,7680.0,192,30.506999999999998,7.43,0.1346,3297,0.0,0.0,0.0,756a8a9125e6984e0ca768b653c6c760efa3db66,streamingllm,qasper,togethercomputer/LLaMA-2-7B-32K-Instruct,192,4,1020
4.679,8674.5,10074.0,25.815,7332.71,7688.0,192,30.494,7.44,0.1345,3303,0.0,0.0,0.0,fe52b093735bb456d7e699aa9a2b806d2b498ba0,streamingllm,qasper,togethercomputer/LLaMA-2-7B-32K-Instruct,192,4,1020
